代码,股票名称,融资余额,融资买入额,融资偿还额,融资净买入,融资融券余额(元)
sh600030,中信证券,10813000000.0,978999999.9999999,674000000.0,306000000.0,10936000000.0
sh601788,光大证券,2834000000.0,640000000.0,468000000.0,173000000.0,3105000000.0
sh601995,中金公司,1497000000.0,693000000.0,534999999.99999994,157000000.0,2352000000.0
sh600536,中国软件,1568000000.0,305000000.0,161000000.0,144000000.0,1704000000.0
sh601881,中国银河,1916000000.0,397000000.0,282000000.0,114999999.99999999,2557000000.0
sh601066,中信建投,1875000000.0,328000000.0,215000000.0,112999999.99999999,1934000000.0
sh688063,派能科技,1514000000.0,182000000.0,77831300.0,104000000.0,1718000000.0
sh600864,哈投股份,505999999.99999994,279000000.0,179000000.0,100000000.0,567000000.0
sz000936,华西股份,657000000.0,254000000.0,154000000.0,100000000.0,658000000.0
sz300274,阳光电源,2547000000.0,347000000.0,252999999.99999997,93643799.99999999,2712000000.0
sz000776,广发证券,3304000000.0,249000000.00000003,158000000.0,90658200.0,3322000000.0
sh600919,江苏银行,2903000000.0,127000000.0,46510400.0,80427200.0,4557000000.0
sh601288,农业银行,2187000000.0,233000000.0,157000000.0,75900700.0,2211000000.0
sz000415,渤海租赁,319000000.0,80530400.0,18392000.0,62138400.0,331000000.0
sz300803,指南针,1104000000.0,393000000.0,333000000.0,60118200.0,1197000000.0
sz002714,牧原股份,9704000000.0,114999999.99999999,55540900.0,59559500.0,9739000000.0
sh600016,民生银行,4954000000.0,86844300.0,34993400.0,51850900.0,5077000000.0
sh600958,东方证券,2204000000.0,231000000.0,179000000.0,51358200.0,2225000000.0
sh600531,豫光金铅,453000000.0,141000000.0,91370000.0,49522700.00000001,462000000.0
sz000728,国元证券,1730999999.9999998,174000000.0,125000000.0,48866800.0,1768000000.0
sh600129,太极集团,252999999.99999997,78756400.0,30594400.0,48162000.0,272000000.0
sh600702,舍得酒业,1985000000.0000002,92232300.0,44428700.0,47803600.0,2085000000.0000002
sz002594,比亚迪,8980000000.0,331000000.0,285000000.0,45544399.99999999,9122000000.0
sh601688,华泰证券,3850000000.0,283000000.0,238000000.0,44468200.0,3879000000.0
sz300760,迈瑞医疗,1763000000.0,140000000.0,97948600.0,42204200.0,1970000000.0
sh603296,N华勤,42187500.0,53776400.0,11588900.000000002,42187500.0,83036600.0
sh688347,C华虹,328000000.0,181000000.0,143000000.0,38629300.0,347000000.0
sh601318,中国平安,18828000000.0,204999999.99999997,166000000.0,38446100.0,18879000000.0
sz000983,山西焦煤,763000000.0,42784500.0,9832400.0,32952000.0,1287000000.0
sh600399,抚顺特钢,204999999.99999997,56675900.0,25602700.0,31073200.0,239000000.0
sh600031,三一重工,2479000000.0,61673800.0,30939899.999999996,30734000.0,2489000000.0
sh688122,西部超导,619000000.0,94142700.0,64410600.00000001,29732100.0,802999999.9999999
sz301428,世纪恒通,70064600.0,63418900.0,34279800.0,29139200.0,70064600.0
sz300031,宝通科技,346000000.0,46418200.0,18748900.0,27669300.0,360000000.0
sz000426,兴业银锡,755000000.0,39994600.0,12838900.000000002,27155800.0,762000000.0
sh603108,润达医疗,292000000.0,79855100.0,53227600.0,26627500.0,294000000.0
sz003816,中国广核,211000000.0,40457300.0,14464100.0,25993100.0,236000000.0
sh600703,三安光电,4611000000.0,49379900.0,24058400.0,25321500.0,4653000000.0
sz002736,国信证券,739000000.0,126000000.0,101000000.0,24859200.0,768000000.0
sh600105,永鼎股份,488999999.99999994,103000000.0,78181100.0,24833600.0,493000000.0
sz000001,平安银行,3838000000.0000005,115999999.99999999,91351200.00000001,24370100.000000004,3858000000.0
sh603290,斯达半导,680000000.0,51993700.0,27790800.0,24202900.0,720000000.0
sh600600,青岛啤酒,380000000.0,33054400.0,8873000.0,24181400.0,401000000.0
sh600906,财达证券,586000000.0,218000000.00000003,193000000.0,24090500.0,1091000000.0
sh603985,恒润股份,189000000.0,32434600.0,8519400.0,23915200.0,193000000.0
sz000700,模塑科技,204000000.0,55719399.99999999,31889800.0,23829600.0,204000000.0
sh605020,永和股份,95431400.0,42871600.0,19042200.0,23829400.0,97809100.0
sh603888,新华网,449000000.0,93898700.00000001,71070900.0,22827800.000000004,459000000.0
sh600029,南方航空,1307000000.0,30508500.0,7810599.999999999,22697900.0,1373000000.0
sh600481,双良节能,1148000000.0,45581000.0,22965600.0,22615400.0,1176000000.0
sz002475,立讯精密,2459000000.0,148000000.0,125000000.0,22071100.0,2502000000.0
sh600332,白云山,1124000000.0,47960200.00000001,26872000.0,21088200.0,1129000000.0
sh600196,复星医药,3246000000.0,53743700.0,32708000.0,21035700.0,3327000000.0000005
sh688390,固德威,690000000.0,49682100.0,28894400.0,20787800.000000004,855000000.0000001
sz300308,中际旭创,3725000000.0,590000000.0,569000000.0,20575900.0,5867000000.0
sh688621,阳光诺和,167000000.0,22377399.999999996,1903600.0000000002,20473700.0,170000000.0
sz301218,华是科技,75659500.0,51744900.0,31336900.0,20408100.0,75766700.0
sh601136,首创证券,560000000.0,372000000.0,352000000.0,20365400.0,604000000.0
sh688322,奥比中光,127000000.0,44007299.99999999,23663500.0,20343800.0,128000000.0
sh600522,中天科技,2139999999.9999998,80633800.0,60702200.0,19931600.0,2192000000.0
sz300502,新易盛,1486000000.0,231000000.0,211000000.0,19852800.0,1688000000.0
sz300070,碧水源,933000000.0,23847399.999999996,4183800.0,19663600.0,961999999.9999999
sh601311,骆驼股份,646000000.0,28100100.000000004,8469800.0,19630200.0,651000000.0
sz000681,视觉中国,622000000.0,73329000.0,53896400.0,19432600.0,671000000.0
sz000333,美的集团,2318000000.0,43473000.0,24234899.999999996,19238000.0,2389000000.0
sh688047,龙芯中科,239000000.0,50040000.0,30953700.0,19086300.0,341000000.0
sz000572,海马汽车,227999999.99999997,82181700.0,63310100.0,18871600.0,227999999.99999997
sh688516,奥特维,373000000.0,22964600.0,4556400.0,18408200.0,407000000.0
sz000151,中成股份,171000000.0,24093400.0,6083600.0,18009800.0,172000000.0
sh601059,信达证券,630000000.0,258000000.0,241000000.0,17628500.0,630000000.0
sz300699,光威复材,639000000.0,59273400.0,41712900.0,17560500.0,657000000.0
sh603379,三美股份,346000000.0,32366100.0,15373900.000000002,16992200.0,361000000.0
sh603606,东方电缆,621000000.0,49856000.0,32906500.0,16949500.0,639000000.0
sh600973,宝胜股份,264000000.0,51334600.0,34453300.0,16881300.0,268000000.00000003
sh600621,华鑫股份,580000000.0,144000000.0,127000000.0,16821000.0,687000000.0
sz300390,天华新能,1228000000.0,32917800.000000004,16184200.0,16733599.999999998,1355000000.0
sz002517,恺英网络,520000000.0,35828800.0,19135800.0,16693000.0,588000000.0
sh603986,兆易创新,2573000000.0,64024700.0,47371200.0,16653599.999999998,2651000000.0
sh600160,巨化股份,1165000000.0,62582400.0,46959399.99999999,15623000.0,1207000000.0
sh600383,金地集团,1391000000.0,118000000.0,103000000.0,15557900.0,1416000000.0
sh600559,老白干酒,819000000.0,32248800.0,16828800.0,15420000.0,898000000.0
sz002675,东诚药业,556000000.0,18987100.0,4131700.0,14855400.0,561000000.0
sz002031,巨轮智能,385000000.0,44737200.0,29983300.0,14753800.000000002,388000000.0
sz000709,河钢股份,698000000.0,25368500.0,10651500.0,14717000.0,708000000.0
sh688313,仕佳光子,349000000.0,48375400.0,33754900.0,14620500.0,349000000.0
sz300759,康龙化成,885000000.0,65515900.0,51018400.0,14497500.0,969000000.0
sz002465,海格通信,777000000.0,23717100.0,9461600.0,14255500.0,793000000.0
sz002407,多氟多,1549000000.0,46397700.00000001,32315500.0,14082200.0,2029000000.0
sh605117,德业股份,644000000.0,36852700.0,23222900.0,13629800.0,672000000.0
sh600782,新钢股份,366000000.0,32633200.0,19085300.0,13547900.0,378000000.0
sh600415,小商品城,1368000000.0,74367000.0,60822700.00000001,13544300.0,1517000000.0
sz000650,仁和药业,441000000.0,27444000.0,14387600.0,13056400.000000002,445000000.0
sh600127,金健米业,213000000.0,102000000.0,88991000.0,12883300.0,213000000.0
sh600416,湘电股份,666000000.0,26264899.999999996,13419200.0,12845700.0,684000000.0
sz300015,爱尔眼科,1360000000.0,41325900.0,28573500.0,12752300.0,1412000000.0
sh600208,新湖中宝,822000000.0000001,29629800.0,16888900.0,12740900.0,977000000.0
sz002617,露笑科技,869999999.9999999,20509500.0,7891000.0,12618500.0,888000000.0000001
sz000503,国新健康,718000000.0,25062500.0,12444400.0,12618100.0,722000000.0
sh688339,亿华通,276000000.0,20166700.0,7554200.0,12612500.0,294000000.0
sz000932,华菱钢铁,1010000000.0,19628800.0,7027500.0,12601300.000000002,1031000000.0
sh600755,厦门国贸,671000000.0,22335000.0,9819000.0,12515900.0,677000000.0
sz002325,洪涛股份,192000000.0,14368300.0,1891900.0,12476400.000000002,192000000.0
sz000719,中原传媒,158000000.0,100000000.0,87655500.0,12473900.000000002,199000000.0
sz000969,安泰科技,500000000.0,76025400.0,63564000.0,12461400.000000002,509000000.0
sz000603,盛达资源,276000000.0,28056100.0,15668200.0,12387900.0,279000000.0
sh603005,晶方科技,855000000.0000001,33633100.0,21254400.0,12378599.999999998,886999999.9999999
sz301281,科源制药,38816300.0,31304200.0,18928100.0,12376099.999999998,38816300.0
sh688385,复旦微电,369000000.0,17096200.0,4731400.0,12364800.0,639000000.0
sz300827,上能电气,353000000.0,40960400.0,28649500.0,12310900.0,358000000.0
sz301052,果麦文化,144000000.0,41669300.0,29391800.0,12277500.0,179000000.0
sh688029,南微医学,181000000.0,29125600.0,16935800.0,12189800.0,252999999.99999997
sh601900,南方传媒,259000000.0,65940400.0,53753100.00000001,12187300.0,259000000.0
sz002281,光迅科技,1195000000.0,102000000.0,90346900.0,12109000.0,1271000000.0
sh600851,海欣股份,142000000.0,43851300.0,31820100.000000004,12031199.999999998,155000000.0
sz301509,C金凯生科,47241800.0,41458100.00000001,29511200.0,11946900.0,47241800.0
sz000861,海印股份,381000000.0,19800200.0,7873500.0,11926700.0,382000000.0
sz002167,东方锆业,363000000.0,19808600.0,7988900.0,11819700.0,364000000.0
sh600771,广誉远,903999999.9999999,24921200.0,13105400.0,11815800.0,910000000.0
sh601816,京沪高铁,1928000000.0,20572500.0,8909600.0,11662900.0,1930000000.0
sz300979,华利集团,87887400.0,15433200.0,3893600.0,11539600.0,118000000.0
sh688348,昱能科技,394000000.0,28132700.0,16598300.0,11534400.0,600000000.0
sh603589,口子窖,537000000.0,24330800.0,12895700.0,11435000.0,560000000.0
sz300964,本川智能,87975600.0,16837900.0,5525300.0,11312600.0,87975600.0
sh600483,福能股份,329000000.0,17442400.0,6275400.0,11167000.0,335000000.0
sz000592,平潭发展,377000000.0,19339400.0,8335900.0,11003500.0,377000000.0
sh600765,中航重机,366000000.0,15397600.0,4425700.0,10971900.0,384000000.0
sz300993,玉马遮阳,80397800.0,22452800.000000004,11485100.0,10967800.0,80397800.0
sh603858,步长制药,641000000.0,28013000.0,17054100.0,10958900.000000002,650000000.0
sz000625,长安汽车,2499000000.0,209000000.0,198000000.0,10954200.0,2748000000.0
sh600595,中孚实业,183000000.0,59532000.0,48591200.0,10940900.0,248000000.0
sh601375,中原证券,1095000000.0,106000000.0,95519700.0,10843599.999999998,1143000000.0
sz002020,京新药业,453000000.0,28744600.0,17934700.0,10809900.0,455999999.99999994
sz002241,歌尔股份,3758000000.0,53652000.0,42852600.0,10799400.0,3820000000.0000005
sh603690,至纯科技,322000000.0,24400100.000000004,13669000.0,10731099.999999998,328000000.0
sz300144,宋城演艺,813000000.0000001,28160500.0,17479000.0,10681500.0,824000000.0
sz300598,诚迈科技,457000000.0,43157000.0,32487600.000000004,10669400.0,465000000.00000006
sh600641,万业企业,999000000.0,18110700.0,7526500.0,10584200.0,1005000000.0000001
sh688152,麒麟信安,109000000.00000001,54515700.0,43934399.99999999,10581300.000000002,150000000.0
sz301293,三博脑科,124000000.0,21565800.0,11043800.000000002,10522000.0,138000000.0
sh600875,东方电气,814000000.0,20679000.0,10282400.0,10396600.0,818000000.0
sz000568,泸州老窖,1626000000.0000002,58802299.99999999,48415700.0,10386600.0,1772000000.0
sh600482,中国动力,572000000.0,45932000.0,35558800.0,10373200.0,594000000.0
sz002664,信质集团,44570900.0,17747200.0,7385700.000000001,10361500.0,47869600.0
sh603283,赛腾股份,131000000.0,22455300.000000004,12112700.0,10342700.0,204000000.0
sz002876,三利谱,231000000.0,14277500.0,4088900.0,10188600.0,231000000.0
sh601336,新华保险,1168000000.0,45709799.99999999,35524000.0,10185900.0,1214000000.0
sz301519,舜禹股份,57908300.0,28251600.0,18105200.0,10146400.0,57908300.0
sz000665,湖北广电,193000000.0,19346300.0,9211600.0,10134700.0,202000000.0
sz300094,国联水产,311000000.0,70614400.0,60605500.0,10008900.0,311000000.0
sh600517,国网英大,486000000.00000006,34018900.0,24040800.0,9978100.0,493000000.0
sz002284,亚太股份,277000000.0,32687100.0,22768400.0,9918700.0,278000000.0
sz300002,神州泰岳,990000000.0,74535300.0,64736600.0,9798700.0,1044999999.9999999
sh600884,杉杉股份,1154000000.0,19864100.0,10076000.0,9788100.0,1173000000.0
sh601211,国泰君安,3075000000.0,123000000.0,113999999.99999999,9772900.0,3118000000.0
sz002922,伊戈尔,138000000.0,18292500.0,8556100.0,9736400.0,143000000.0
sh600999,招商证券,1231000000.0,51193000.0,41633600.0,9559400.0,1252000000.0
sh688981,中芯国际,3301000000.0,60151500.0,50594200.0,9557300.0,3490999999.9999995
sz002533,金杯电工,214000000.0,25859500.0,16313300.0,9546200.0,215000000.0
sh601369,陕鼓动力,421000000.0,14448400.0,4924200.0,9524200.0,425000000.0
sh688629,华丰科技,57467800.0,21954400.0,12436700.0,9517600.0,69793800.0
sz000627,天茂集团,381000000.0,52320200.00000001,42839799.99999999,9480400.0,386000000.0
sz002902,铭普光磁,239000000.0,115999999.99999999,107000000.0,9429900.0,239000000.0
sh600987,航民股份,397000000.0,11789800.0,2484600.0,9305100.0,397000000.0
sz002049,紫光国微,2624000000.0,46004100.0,36760600.0,9243600.0,2697000000.0
sz300035,中科电气,367000000.0,47062200.0,37968400.0,9093800.0,420000000.0
sz000513,丽珠集团,521000000.0,36270400.0,27186900.0,9083500.0,537000000.0
sh688032,禾迈股份,292000000.0,28186100.0,19119900.0,9066200.0,440000000.00000006
sh601398,工商银行,3499000000.0,66592700.00000001,57540000.0,9052700.0,3527000000.0000005
sh688525,佰维存储,178000000.0,26285200.0,17237600.0,9047600.0,265000000.0
sh601728,中国电信,894000000.0,56582200.0,47630300.0,8951900.0,910000000.0
sz300232,洲明科技,438999999.99999994,12746900.0,3804100.0000000005,8942800.0,444000000.00000006
sz000987,越秀资本,555000000.0,34351000.0,25427600.000000004,8923400.0,564000000.0
sz300468,四方精创,47929300.0,22132800.000000004,13218200.0,8914700.0,47929300.0
sh600636,国新文化,204000000.0,22361100.0,13512000.0,8849100.0,204000000.0
sh600000,浦发银行,3101000000.0,18527800.0,9704000.0,8823800.0,3115000000.0
sz300212,易华录,755000000.0,39920100.0,31147000.0,8773200.0,787000000.0
sh603800,道森股份,161000000.0,12351700.0,3641000.0,8710700.0,161000000.0
sh600354,敦煌种业,138000000.0,25450700.0,16744800.0,8705800.0,138000000.0
sz002707,众信旅游,183000000.0,19140100.0,10524900.0,8615200.0,188000000.0
sh600602,云赛智联,468000000.0,81108800.0,72514100.0,8594700.0,478000000.0
sh603260,合盛硅业,877000000.0,12205200.0,3613300.0,8591900.0,935000000.0
sh600926,杭州银行,639000000.0,13600100.0,5008800.0,8591200.0,639000000.0
sz002434,万里扬,490000000.00000006,12877100.0,4307100.0,8570000.0,494000000.00000006
sh600877,电科芯片,304000000.0,10271600.0,1737800.0,8533800.0,309000000.0
sh601789,宁波建工,265000000.0,22087300.0,13590900.0,8496400.0,266000000.0
sh601952,苏垦农发,302000000.0,18243500.0,9755100.0,8488400.0,306000000.0
sh600577,精达股份,505999999.99999994,49412200.0,40946600.0,8465600.0,519000000.00000006
sz002152,广电运通,1066000000.0,20707300.0,12274900.0,8432400.0,1087000000.0
sz001270,铖昌科技,282000000.0,14558400.0,6151300.0,8407000.0,287000000.0
sz300343,联创股份,672000000.0,63336700.0,54953800.0,8382900.0,683000000.0
sz300763,锦浪科技,1026000000.0,69787700.0,61426000.0,8361799.999999999,1361000000.0
sh688195,腾景科技,154000000.0,15805800.0,7502000.0,8303800.0,155000000.0
sz301045,天禄科技,63440100.0,20808000.0,12536800.0,8271200.0,63440100.0
sz002474,榕基软件,294000000.0,14181900.0,5933200.000000001,8248700.0,294000000.0
sz000725,京东方Ａ,6667000000.0,68087500.0,59958200.0,8129299.999999999,6670999999.999999
sz300747,锐科激光,450000000.0,24014899.999999996,15917300.0,8097500.0,455999999.99999994
sh600267,海正药业,750000000.0,27905300.000000004,19830500.0,8074800.0,752000000.0
sz002441,众业达,189000000.0,11934000.0,3921200.0,8012800.0,189000000.0
sz300639,凯普生物,197000000.0,11244600.0,3248700.0,7995900.0,198000000.0
sz301260,格力博,157000000.0,10913300.0,2930500.0,7982800.0,157000000.0
sz300149,睿智医药,85025700.0,35893300.0,27932500.0,7960800.0,122000000.0
sh603712,七一二,231999999.99999997,10162400.0,2257100.0,7905400.0,241000000.0
sh601869,长飞光纤,179000000.0,11844500.0,4047400.0,7797100.0,186000000.0
sh600498,烽火通信,557000000.0,16205800.0,8441500.0,7764299.999999999,571000000.0
sz000917,电广传媒,637000000.0,26461900.0,18774800.0,7687100.0,640000000.0
sz300499,高澜股份,426999999.99999994,26228000.0,18543200.0,7684800.0,426999999.99999994
sz000716,黑芝麻,121000000.0,38751300.0,31076400.0,7674900.0,121000000.0
sz300751,迈为股份,580000000.0,24720400.0,17065000.0,7655400.0,697000000.0
sz002235,安妮股份,215000000.0,73303000.0,65690300.0,7612700.0,215000000.0
sz002332,仙琚制药,131000000.0,10148600.0,2551500.0,7597100.0,139000000.0
sz000975,银泰黄金,849000000.0,26826900.0,19240400.0,7586500.0,883000000.0
sz301302,华如科技,127000000.0,14418900.000000002,6853900.0,7565000.0,127000000.0
sh600158,中体产业,744000000.0,15478599.999999998,7929500.0,7549100.0,750000000.0
sz300009,安科生物,494000000.00000006,12563000.0,5063700.0,7499400.000000001,509000000.0
sz000811,冰轮环境,306000000.0,15231400.000000002,7799800.0,7431500.0,309000000.0
sz000948,南天信息,267000000.0,18654500.0,11227300.0,7427100.0,268000000.00000003
sz002135,东南网架,127000000.0,10725100.0,3310299.9999999995,7414800.0,131000000.0
sz002292,奥飞娱乐,417000000.0,65208300.0,57817800.0,7390500.0,474000000.0
sh600063,皖维高新,704000000.0,15605800.0,8216400.0,7389500.0,710000000.0
sz002317,众生药业,561000000.0,43316200.0,35941300.0,7374900.0,588000000.0
sh601868,中国能建,735000000.0,57292000.0,49977500.0,7314500.0,757000000.0
sz002611,东方精工,204999999.99999997,10241400.000000002,3023700.0,7217700.0,206000000.0
sz300332,天壕能源,245000000.00000003,8520800.0,1309800.0,7211000.0,256000000.0
sh601615,明阳智能,1555000000.0,22988300.0,15787200.0,7201200.0,1573000000.0
sz002097,山河智能,120000000.0,9745500.0,2554900.0,7190599.999999999,120000000.0
sz000065,北方国际,301000000.0,18745400.0,11624000.0,7121500.0,311000000.0
sh600320,振华重工,245000000.00000003,9010600.0,1891500.0,7119100.0,248000000.0
sz002256,兆新股份,69824000.0,16402200.0,9310000.0,7092200.0,105000000.0
sz300003,乐普医疗,1155000000.0,24807600.000000004,17740600.0,7067000.0,1175000000.0
sh600036,招商银行,6625000000.0,80983600.0,73966900.0,7016700.0,6703000000.0
sz300109,新开源,394000000.0,13286700.0,6288700.0,6998000.0,400000000.0
sh600037,歌华有线,641000000.0,17668500.0,10697600.0,6970900.0,645000000.0
sh601958,金钼股份,722000000.0,37064100.0,30106200.0,6957900.0,732000000.0
sz002681,奋达科技,294000000.0,21254899.999999996,14333000.0,6921900.000000001,319000000.0
sz301267,华厦眼科,80334900.0,9936200.0,3068800.0,6867400.0,84550100.0
sz300663,科蓝软件,544000000.0,27189500.0,20327000.0,6862500.0,548000000.0
sh688235,百济神州,236000000.0,16357800.0,9561300.0,6796500.0,275000000.0
sh688450,光格科技,32393600.0,13550200.0,6861799.999999999,6688400.0,38462500.0
sh688472,阿特斯,279000000.0,20890400.0,14224000.0,6666400.0,332000000.0
sz301518,C长华化学,36600300.0,30632300.0,24020200.0,6612100.0,36600300.0
sz300850,新强联,355000000.0,12389300.0,5858400.0,6530900.0,364000000.0
sh688223,晶科能源,638000000.0,20301600.0,13809400.0,6492200.0,938000000.0000001
sz000756,新华制药,301000000.0,44713500.0,38227900.0,6485599.999999999,308000000.0
sh688017,绿的谐波,383000000.0,27627300.0,21149100.0,6478200.000000001,409000000.0
sh603867,新化股份,311000000.0,15490300.0,9021200.0,6469200.0,311000000.0
sh688489,三未信安,95825100.0,18973700.0,12532700.0,6441000.0,112999999.99999999
sh600489,中金黄金,978999999.9999999,43338300.0,36902100.0,6436300.0,994000000.0
sz300316,晶盛机电,842000000.0,15612200.0,9176900.0,6435300.0,883000000.0
sz002276,万马股份,512000000.0,14693500.0,8272200.0,6421300.0,628000000.0
sz300373,扬杰科技,773000000.0,20704000.0,14289600.0,6414299.999999999,1145000000.0
sz301393,昊帆生物,112999999.99999999,21481100.0,15071900.0,6409100.0,122000000.0
sz300068,南都电源,762000000.0,25827700.0,19445800.0,6381799.999999999,770000000.0
sz000682,东方电子,193000000.0,11630300.0,5250300.0,6380000.0,199000000.0
sz300257,开山股份,354000000.0,8696400.0,2354900.0,6341500.0,358000000.0
sz002376,新北洋,321000000.0,13973900.000000002,7685700.000000001,6288099.999999999,321000000.0
sz300653,正海生物,131000000.0,7924700.0,1644400.0,6280300.0,133000000.0
sz301287,康力源,35395500.0,19032200.0,12761500.0,6270700.000000001,35395500.0
sz000636,风华高科,989000000.0,10780500.0,4616800.0,6163700.0,1006000000.0
sz000543,皖能电力,215000000.0,12731600.0,6583500.0,6148099.999999999,222000000.00000003
sh688262,国芯科技,303000000.0,13868900.000000002,7739600.0,6129299.999999999,311000000.0
sh601777,力帆科技,237000000.0,32316100.0,26194200.0,6121900.000000001,288000000.0
sz000708,中信特钢,98008300.0,7502800.0,1389000.0,6113800.0,107000000.0
sz300634,彩讯股份,150000000.0,23762600.000000004,17742500.0,6020100.0,156000000.0
sh600633,浙数文化,473000000.00000006,31127800.000000004,25110700.0,6017100.0,498000000.00000006
sz301362,C民爆光电,25865900.0,27721800.0,21727100.0,5994700.0,62061500.0
sz000629,钒钛股份,953999999.9999999,15708500.0,9741300.0,5967100.0,1298000000.0
sz000766,通化金马,202000000.0,20640000.0,14686800.0,5953099.999999999,202999999.99999997
sz002556,辉隆股份,578000000.0,7380500.0,1428400.0,5952100.0,580000000.0
sh688389,普门科技,47756800.0,6727100.0,775400.0000000001,5951700.0,48705400.0
sh688510,航亚科技,85090500.0,8339000.0,2418200.0,5920700.000000001,85090500.0
sz000539,粤电力Ａ,122000000.0,11704900.0,5797600.0,5907300.0,130000000.0
sh600739,辽宁成大,1364000000.0,16276500.0,10378100.0,5898400.0,1375000000.0
sz000552,甘肃能化,320000000.0,8797500.0,2928800.0,5868800.0,323000000.0
sz300630,普利制药,327000000.0,14860400.0,9025200.0,5835200.0,332000000.0
sh688246,嘉和美康,131000000.0,6266400.0,455700.0,5810800.0,189000000.0
sz002701,奥瑞金,547000000.0,8931900.0,3138500.0,5793300.0,550000000.0
sh600737,中粮糖业,705000000.0,37195700.0,31410500.0,5785200.0,709000000.0
sz301058,中粮科工,82340600.0,13185600.0,7413500.0,5772000.0,84834000.0
sh688388,嘉元科技,536000000.00000006,9644300.0,3880100.0,5764200.0,545000000.0
sh600201,生物股份,834000000.0,8011700.0,2252800.0,5758900.0,838000000.0000001
sh603300,华铁应急,219000000.0,6931000.0,1189200.0,5741799.999999999,221000000.0
sz300775,三角防务,304000000.0,14016600.0,8278000.0,5738600.0,311000000.0
sh688205,德科立,125000000.0,15004400.0,9287100.0,5717400.0,171000000.0
sz002056,横店东磁,652000000.0,21237199.999999996,15547600.0,5689500.0,666000000.0
sz000035,中国天楹,805000000.0000001,12048200.0,6371200.0,5677000.0,811000000.0
sh603806,福斯特,774000000.0,15812700.0,10143400.0,5669200.0,826000000.0
sh600780,通宝能源,470000000.0,7490800.0,1861900.0,5628900.0,473000000.00000006
sz002250,联化科技,252999999.99999997,12618699.999999998,6997000.0,5621700.0,260000000.0
sh600258,首旅酒店,247000000.00000003,14690000.0,9122000.0,5568000.0,263000000.0
sh603927,中科软,313000000.0,9346300.0,3791200.0,5555100.0,323000000.0
sh601919,中远海控,3990999999.9999995,47979100.0,42441600.0,5537500.0,3999000000.0
sz300821,东岳硅材,88495300.0,16164700.0,10632900.0,5531799.999999999,92509500.0
sz301025,读客文化,52807299.99999999,16966900.0,11444400.0,5522500.0,52807299.99999999
sh603330,天洋新材,96695300.0,7864800.0,2353200.0,5511600.0,96695300.0
sz300116,保力新,45032700.00000001,8833100.0,3332600.0,5500500.0,45032700.00000001
sh601226,华电重工,109000000.00000001,8911200.0,3413300.0,5497900.0,113999999.99999999
sh601801,皖新传媒,262000000.0,14027200.0,8533100.0,5494000.0,264000000.0
sh603306,华懋科技,338000000.0,8613200.0,3121100.0,5492000.0,341000000.0
sz300075,数字政通,673000000.0,31150400.0,25689300.0,5461000.0,680000000.0
sz001979,招商蛇口,454000000.0,35694100.0,30240800.0,5453200.000000001,670000000.0
sz300416,苏试试验,84615800.0,9222300.0,3769300.0,5453000.0,85772099.99999999
sh600330,天通股份,1127000000.0,34130300.0,28703800.0,5426400.0,1133000000.0
sz002733,雄韬股份,311000000.0,11960100.0,6539500.0,5420599.999999999,314000000.0
sh601515,东风股份,274000000.0,8745100.0,3348100.0,5397000.0,276000000.0
sh600686,金龙汽车,223000000.0,10351000.0,4971600.0,5379400.000000001,224000000.00000003
sh688627,精智达,49904200.0,18856400.0,13513699.999999998,5342700.0,77086900.0
sh600477,杭萧钢构,369000000.0,11066300.000000002,5738400.0,5327900.0,372000000.0
sh603063,禾望电气,120000000.0,12530700.0,7218000.0,5312700.0,127000000.0
sz300018,中元股份,218000000.00000003,20770300.000000004,15461199.999999998,5309100.0,218000000.00000003
sz300244,迪安诊断,478000000.0,7509900.0,2232100.0,5277800.0,491000000.0
sh600610,中毅达,164000000.0,13445500.0,8174100.0,5271400.0,169000000.0
sz300629,新劲刚,178000000.0,15082900.0,9818900.0,5264000.0,183000000.0
sz002960,青鸟消防,160000000.0,13434200.0,8170800.0,5263400.0,163000000.0
sh600106,重庆路桥,243000000.00000003,12020000.0,6780100.0,5239900.0,243000000.00000003
sz301225,恒勃股份,36458200.0,19911000.0,14692900.0,5218099.999999999,36458200.0
sh600645,中源协和,705000000.0,13689300.0,8477400.0,5211799.999999999,708000000.0
sz300505,川金诺,157000000.0,17750000.0,12540400.0,5209600.0,171000000.0
sz301133,金钟股份,29574000.0,12905400.0,7708700.0,5196700.0,42280700.0
sh603392,万泰生物,582000000.0,14263699.999999998,9085100.0,5178600.0,784000000.0
sz300999,金龙鱼,1110000000.0,20177600.0,15157400.0,5020100.0,1162000000.0
sh601988,中国银行,2547000000.0,76974400.0,71958600.0,5015800.0,2588000000.0
sz300638,广和通,483000000.0,25456600.0,20451900.0,5004800.0,557000000.0
sz300099,精准信息,270000000.0,9129900.0,4175100.0,4954800.0,270000000.0
sh688327,云从科技,633000000.0,26673400.0,21719500.0,4953900.0,1057000000.0
sz002670,国盛金控,420000000.0,175000000.0,170000000.0,4921800.0,523000000.00000006
sh600839,四川长虹,1267000000.0,30875900.0,25990300.000000004,4885700.0,1298000000.0
sz000935,四川双马,368000000.0,7677100.0,2825600.0,4851500.0,370000000.0
sz300579,数字认证,229000000.0,26312900.0,21469899.999999996,4843000.0,235000000.0
