日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-13,睿创微纳,48.9,0.74%,0.50%,0.573783,0.518809,0.054974,0.03%,1.09,0.08,0.53,1.98,447000000.0,,67.02,21873000000.0
2023-07-12,睿创微纳,48.54,-1.54%,0.56%,0.640649,0.5937770000000001,0.046871999999999935,0.02%,1.23,-0.12,0.52,2.58,447000000.0,,66.52,21712000000.0
2023-07-11,睿创微纳,49.3,-0.18%,0.71%,0.81594,0.7471800000000001,0.06876,0.03%,1.56,0.14,0.59,2.06,447000000.0,,67.56,22052000000.0
2023-07-10,睿创微纳,49.39,-0.24%,0.82%,0.795579,1.01,-0.214421,-0.10%,1.81,0.16,0.65,2.28,447000000.0,,67.69,22092000000.0
2023-07-07,睿创微纳,49.51,0.39%,1.16%,1.12,1.44,-0.32,-0.14%,2.56,-0.02,1.0,2.41,447000000.0,,67.85,22146000000.0
2023-07-06,睿创微纳,49.32,1.94%,1.43%,1.74,1.43,0.31,0.14%,3.17,-0.12,1.45,4.2,447000000.0,220.61,67.59,
2023-07-05,睿创微纳,48.38,1.28%,1.34%,1.53,1.39,0.14,0.06%,2.92,0.04,1.54,4.35,447000000.0,216.4,66.3,
2023-07-04,睿创微纳,47.77,3.80%,1.28%,1.47,1.26,0.21,0.10%,2.73,-0.06,1.72,5.56,447000000.0,213.68,65.47,
2023-07-03,睿创微纳,46.02,2.72%,1.08%,1.25,0.9444229999999999,0.305577,0.15%,2.2,0.13,1.53,3.57,447000000.0,205.85,63.07,
2023-06-30,睿创微纳,44.8,0.86%,0.62%,0.6396939999999999,0.611321,0.028372999999999926,0.01%,1.25,-0.09,0.76,2.07,447000000.0,200.39,61.4,
2023-06-29,睿创微纳,44.42,1.12%,0.60%,0.5679420000000001,0.61819,-0.050248,-0.03%,1.19,-0.11,0.58,2.71,447000000.0,198.69,60.88,
2023-06-28,睿创微纳,43.93,-0.99%,0.77%,0.705729,0.800311,-0.094582,-0.05%,1.51,0.23,0.69,2.01,447000000.0,196.5,60.2,
2023-06-27,睿创微纳,44.48,-1.11%,0.68%,0.601676,0.750132,-0.148456,-0.07%,1.35,-0.14,0.6,1.6,447000000.0,198.96,60.96,
2023-06-26,睿创微纳,44.98,-1.21%,0.84%,0.874978,0.8210049999999999,0.053973,0.03%,1.7,0.36,0.78,2.99,447000000.0,201.2,61.64,
