日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-09-06,康泰生物,27.21,-1.45%,0.68%,0.711828,0.911808,-0.19998,-0.08%,1.62,0.0,1.08,2.35,881000000.0,,29.77,23982000000.0
2023-09-04,康泰生物,27.62,-0.36%,0.57%,0.644555,0.7308060000000001,-0.086251,-0.04%,1.38,0.0,0.65,1.91,881000000.0,,30.25,24370000000.0
2023-08-31,康泰生物,27.87,-0.96%,0.75%,0.8304940000000001,1.01,-0.179506,-0.07%,1.84,0.11,0.64,1.74,881000000.0,,30.49,24564000000.0
2023-08-29,康泰生物,28.35,3.13%,1.30%,1.83,1.39,0.44,0.18%,3.22,0.07,1.06,4.26,881000000.0,,31.02,24987000000.0
2023-08-28,康泰生物,27.49,3.31%,1.69%,2.31,1.87,0.44,0.18%,4.18,0.0,1.64,5.97,881000000.0,,30.08,24229000000.0
2023-08-25,康泰生物,26.61,-2.06%,1.12%,1.2,1.42,-0.22,-0.09%,2.63,-0.11,1.2,2.54,881000000.0,,36.16,23453000000.0
2023-08-24,康泰生物,27.25,1.15%,1.05%,1.3,1.18,0.12,0.05%,2.5,-0.18,1.18,4.12,881000000.0,,36.92,23947000000.0
2023-08-23,康泰生物,26.94,-2.32%,0.92%,1.05,1.17,-0.12,-0.05%,2.22,0.0,0.94,4.06,881000000.0,,36.61,23744000000.0
2023-08-21,康泰生物,28.03,-0.64%,0.70%,0.8861190000000001,0.8332940000000001,0.052825,0.02%,1.72,-0.04,0.73,3.9,881000000.0,,38.09,24705000000.0
2023-08-18,康泰生物,28.34,-0.70%,0.56%,0.748222,0.656486,0.091736,0.04%,1.41,-0.14,0.59,1.75,881000000.0,,38.34,24864000000.0
2023-08-16,康泰生物,28.23,-2.08%,1.31%,1.45,1.86,-0.41,-0.16%,3.31,-0.11,0.98,4.02,881000000.0,,38.37,24881000000.0
2023-08-15,康泰生物,28.76,0.95%,0.97%,1.22,1.18,0.04,0.02%,2.44,0.07,0.8,3.23,881000000.0,,39.18,25410000000.0
2023-08-14,康泰生物,28.49,0.04%,0.91%,1.08,1.18,-0.1,-0.04%,2.26,0.0,0.69,2.63,881000000.0,,38.72,25110000000.0
2023-08-11,康泰生物,28.48,-2.86%,1.14%,1.23,1.66,-0.43,-0.17%,2.89,-0.04,0.9,3.21,881000000.0,,38.7,25102000000.0
2023-08-10,康泰生物,29.32,-0.41%,1.19%,1.41,1.65,-0.24,-0.09%,3.06,0.03,0.99,2.55,881000000.0,,39.85,25842000000.0
2023-08-09,康泰生物,29.44,5.14%,2.39%,3.35,2.81,0.54,0.21%,6.16,-0.03,2.62,7.71,881000000.0,,40.01,25948000000.0
2023-08-08,康泰生物,28.0,-0.60%,0.74%,0.809395,1.03,-0.220605,-0.09%,1.83,-0.21,0.69,1.92,881000000.0,,38.05,24679000000.0
2023-08-07,康泰生物,28.13,-2.33%,1.09%,1.29,1.43,-0.14,-0.06%,2.73,0.11,0.88,3.06,881000000.0,,38.28,24828000000.0
2023-08-04,康泰生物,28.8,-0.72%,0.84%,0.91489,1.21,-0.29511,-0.12%,2.15,-0.28,0.58,3.07,881000000.0,,39.14,25384000000.0
2023-08-03,康泰生物,29.01,0.42%,0.90%,1.12,1.16,-0.04,-0.02%,2.29,-0.03,0.55,1.87,881000000.0,,39.42,25569000000.0
2023-08-02,康泰生物,28.89,-1.26%,0.92%,1.06,1.28,-0.22,-0.09%,2.34,0.04,0.42,1.88,881000000.0,,39.26,25463000000.0
2023-08-01,康泰生物,29.26,-0.10%,1.58%,2.04,2.06,-0.02,-0.01%,4.1,-0.1,0.71,3.17,881000000.0,,39.77,25789000000.0
2023-07-31,康泰生物,29.29,-2.88%,2.35%,2.9,3.19,-0.29,-0.11%,6.09,-0.17,0.98,3.98,881000000.0,,39.81,25815000000.0
2023-07-28,康泰生物,30.16,0.23%,1.51%,1.99,1.99,0.0,0.00%,3.99,-0.03,0.49,2.59,881000000.0,,40.99,26582000000.0
2023-07-27,康泰生物,30.09,0.53%,1.83%,2.61,2.23,0.38,0.14%,4.84,0.03,0.63,2.84,881000000.0,,40.89,26521000000.0
2023-07-26,康泰生物,29.93,3.56%,3.59%,4.78,4.72,0.06,0.02%,9.5,0.0,1.54,7.3,881000000.0,,40.68,26380000000.0
2023-07-24,康泰生物,28.99,1.36%,3.16%,3.95,4.1,-0.15,-0.06%,8.06,0.07,2.07,6.12,881000000.0,,39.4,25551000000.0
2023-07-21,康泰生物,28.6,14.54%,4.86%,6.96,5.0,1.96,0.78%,11.96,-0.28,6.98,12.38,881000000.0,,38.87,25207000000.0
2023-07-20,康泰生物,25.01,-2.30%,0.84%,0.749804,1.11,-0.360196,-0.16%,1.88,-0.16,1.53,3.71,881000000.0,,33.94,22008000000.0
2023-07-19,康泰生物,25.6,-2.07%,0.72%,0.772783,0.82642,-0.053637,-0.02%,1.65,0.04,1.15,2.75,881000000.0,,34.79,22563000000.0
2023-07-17,康泰生物,26.11,-0.87%,0.61%,0.546425,0.8464280000000001,-0.300003,-0.13%,1.39,0.0,0.62,2.09,881000000.0,,35.48,23013000000.0
2023-07-14,康泰生物,26.33,-1.39%,0.62%,0.54272,0.8802469999999999,-0.337527,-0.15%,1.43,-0.23,0.7,2.02,881000000.0,,35.8,23215000000.0
2023-07-13,康泰生物,26.7,1.52%,0.80%,0.8935370000000001,0.973683,-0.08014599999999986,-0.03%,1.87,0.04,0.83,1.94,881000000.0,,36.29,23533000000.0
2023-07-12,康泰生物,26.3,-1.16%,0.93%,1.08,1.09,-0.01,-0.00%,2.16,0.0,0.99,2.33,881000000.0,,35.74,23180000000.0
2023-07-11,康泰生物,26.61,2.07%,1.06%,1.41,1.05,0.36,0.15%,2.46,-0.04,1.18,2.53,881000000.0,,36.16,23453000000.0
2023-07-10,康泰生物,26.07,3.70%,1.50%,1.97,1.47,0.5,0.22%,3.44,0.04,2.02,5.73,881000000.0,,35.43,22977000000.0
2023-07-07,康泰生物,25.14,0.48%,0.60%,0.65799,0.6793319999999999,-0.021342,-0.01%,1.34,0.04,0.76,1.88,881000000.0,,34.17,22158000000.0
2023-07-06,康泰生物,25.02,-1.81%,0.70%,0.6417,0.92238,-0.28068000000000004,-0.13%,1.56,0.04,0.9,2.0,881000000.0,220.52,34.0,
2023-07-05,康泰生物,25.48,-1.51%,0.81%,0.6567149999999999,1.15,-0.49328500000000003,-0.22%,1.81,0.04,1.1,1.74,881000000.0,224.57,34.63,
2023-07-04,康泰生物,25.87,0.90%,0.85%,0.930591,0.976446,-0.045855,-0.02%,1.91,0.0,1.2,2.38,881000000.0,228.01,35.16,
2023-07-03,康泰生物,25.64,0.98%,0.76%,0.8087439999999999,0.899,-0.09025599999999999,-0.04%,1.71,0.04,1.02,2.17,881000000.0,225.98,34.84,
2023-06-30,康泰生物,25.39,2.38%,0.84%,1.09,0.789461,0.300539,0.13%,1.88,0.04,1.15,3.43,881000000.0,223.78,34.51,
2023-06-29,康泰生物,24.8,-1.08%,0.65%,0.594411,0.836152,-0.24174099999999998,-0.11%,1.43,-0.04,0.9,2.27,881000000.0,218.58,33.7,
2023-06-28,康泰生物,25.07,-1.18%,0.55%,0.5313979999999999,0.680768,-0.14937000000000009,-0.07%,1.21,0.08,0.7,2.44,881000000.0,220.96,34.07,
